IntID#,REF,Journal,Group,Class,Order,Genus,species,Light,Light2,Temp,Salinity,Nutrient,Container,Treat1,Treat2,Media,Data,sumSAFA,sumMUFA,sumPUFA,c18.2w6,c18.3w6,c18.3w3,c18.4w3,c18.5w3,c20.4w6,c20.5w3,c22.6w3
1,Chen2012,FoodChem,Ochrophyta,Bacillariophyceae,Thalassiophysales,Amphora,exigua,122,12,24,32,Replete,1L-Flask,Incubator,,mod-Pravasoli,prop,72.42,17.38,10.2,3.48,0.19,0.2,0,0,0.84,4.98,0
2,Chen2012,FoodChem,Ochrophyta,Bacillariophyceae,Thalassiophysales,Amphora,bigibba,122,12,24,32,Replete,1L-Flask,Incubator,,mod-Pravasoli,prop,69.75,20.31,9.94,1.29,0.28,0.2,0,0,3.73,4.29,0.03
3,Chen2012,FoodChem,Ochrophyta,Bacillariophyceae,Naviculales,Caloneis,platycephala,122,12,24,32,Replete,1L-Flask,Incubator,,mod-Pravasoli,prop,70.6,15.2,14.2,1.3,0.66,0.11,0,0,4.58,7.08,0
4,Chen2012,FoodChem,Ochrophyta,Coscinodiscophyceae,Chaetocerotales,Chaetoceros,muelleri,122,12,24,32,Replete,1L-Flask,Incubator,,mod-Pravasoli,prop,82.52,8.42,9.06,1.79,0.26,0.31,0,0,3.06,2.96,0.37
5,Chen2012,FoodChem,Ochrophyta,Bacillariophyceae,Achnanthales,Cocconeis,scutellum,122,12,24,32,Replete,1L-Flask,Incubator,,mod-Pravasoli,prop,59.29,19.49,21.22,3.78,2.23,0,0,0,2.51,10.1,2.6
6,Chen2012,FoodChem,Ochrophyta,Bacillariophyceae,Bacillariales,Cylindrotheca,sp,122,12,24,32,Replete,1L-Flask,Incubator,,mod-Pravasoli,prop,93.41,3.76,2.83,0.53,0.08,0.03,0,0,1.64,0.48,0.04
7,Chen2012,FoodChem,Ochrophyta,Coscinodiscophyceae,Melosirales,Melosira,nummuloides,122,12,24,32,Replete,1L-Flask,Incubator,,mod-Pravasoli,prop,83.01,11.63,5.36,2.3,0.27,0.27,0,0,0.22,1.69,0.39
8,Chen2012,FoodChem,Ochrophyta,Bacillariophyceae,Naviculales,Navicula,lyra,122,12,24,32,Replete,1L-Flask,Incubator,,mod-Pravasoli,prop,73.25,13.55,13.2,2.06,0.17,0.36,0,0,0.65,8.4,1.06
9,Chen2012,FoodChem,Ochrophyta,Bacillariophyceae,Bacillariales,Nitzchia,panduriformis,122,12,24,32,Replete,1L-Flask,Incubator,,mod-Pravasoli,prop,76.37,13.5,10.13,0.52,0.49,0,0,0,2.34,6.52,0.05
10,Chen2012,FoodChem,Ochrophyta,Bacillariophyceae,Bacillariales,Nitzchia,grossestriata,122,12,24,32,Replete,1L-Flask,Incubator,,mod-Pravasoli,prop,46.06,25.5,28.44,9.49,0.75,0.59,0,0,5.57,7,1.27
11,Chen2012,FoodChem,Ochrophyta,Bacillariophyceae,Naviculales,Seminavis,gracilenta,122,12,24,32,Replete,1L-Flask,Incubator,,mod-Pravasoli,prop,55.46,20.32,24.22,2.39,0.62,0.32,0,0,6.68,14.17,0.05
12,Chen2012,FoodChem,Ochrophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonema,costatum,122,12,24,32,Replete,1L-Flask,Incubator,,mod-Pravasoli,prop,50.2,27.63,22.17,6.01,0,0.9,0,0,5.11,7.47,2.68
13,Mansour1999,Jphyc,Dinophyta,Dinophyceae,Peridinales,Scrippsiella,sp,80,12,18.5,28,Replete,2L-Flask,,,Gse,prop,13.6,2.1,83,1.5,5.2,0.2,10.6,43.1,0,1.8,18.8
14,Mansour1999,Jphyc,Dinophyta,Dinophyceae,Suessiales,Symbiodinium,microadriaticum,80,12,18.5,28,Replete,2L-Flask,,,Gse,prop,25.2,20.8,52.7,0.9,1.1,0.2,11.5,7,1.1,13.5,9.9
15,Mansour1999,Jphyc,Dinophyta,Dinophyceae,Dinotrichales,Gymnodinium,sp,80,12,18.5,28,Replete,2L-Flask,,,Gse,prop,30.3,3.9,65.9,5.2,0,0.4,2.5,20.8,0,12.6,22
16,Mansour1999,Jphyc,Dinophyta,Dinophyceae,Dinotrichales,Gymnodinium,sanguineum,80,12,18.5,28,Replete,2L-Flask,,,Gse,prop,34.1,14.6,51.3,0.7,0.1,0.3,3.6,6.4,0.5,14.1,24.2
17,Mansour1999,Jphyc,Dinophyta,Dinophyceae,Gonyaulacales,Fragilidium,sp,80,12,18.5,28,Replete,2L-Flask,,,Gse,prop,23.9,2,74.1,0.3,0,1.8,8.7,7.2,0,20.9,26.3
18,Ahlgren1992,Jphyc,Cyanobacteria,Cyanophyceae,Oscillatoriales,Oscillatoria,agardhii,75,24,20,0,Replete,0.5L-Flask,,containerAndMediaFromAhlgren1977,mod-Z8,prop,31.06021616,29.67061245,39.26917138,12.94390118,0,26.02676274,0,0,0,0,0
