rowname	Sample_id	Depth	Site	Year	Station	Level	Sample	LD	Elevation_m	Distance_to_sea_m	Jadammina macrescens	Balticammina pseudomacrescens	Miliammina fusca	Ammotium salsum	Ammobaculites exiguus	Ovammina opaca	Aggl.indefinite	Elphidium albiumbilicatum	Elphidium williamsoni	Trochammina inflata	H	D	J	E	Total_abundance
Jun.S.1	Su_Jun_1	Surface	Sukhaya Salma	2013	3	Juncus	1	Live	1.74	45	78	168	22	0	0	4	3	0	0	0	0.971341332917835	0.539609917355372	0.603528303523549	0.528297039042964	275
Jun.S.2	Su_Jun_2	Surface	Sukhaya Salma	2013	3	Juncus	2	Live	1.74	45	113	86	23	0	0	17	4	0	0	0	1.20048999374342	0.644380091110772	0.745906371702038	0.664348831578216	243
Puc.S.1	Su_Prp_1	Surface	Sukhaya Salma	2013	4	Puccinellia	1	Live	1.73	26.2	4	0	359	0	0	8	0	0	61	0	0.547460882318688	0.289041066529492	0.394909550000934	0.432214416750384	432
Puc.S.2	Su_Prp_2	Surface	Sukhaya Salma	2013	4	Puccinellia	2	Live	1.73	26.2	2	0	1148	12	0	17	0	0	91	0	0.392119009091815	0.17749271498543	0.243637238853642	0.296022769585196	1270
Sal.S.1	Su_Sal_1	Surface	Sukhaya Salma	2013	5	Salicornia	1	Live	1.69	22.8	1	0	990	0	0	1	0	0	2048	0	0.636735301850334	0.44009630367036	0.459307431169207	0.472574884321382	3040
Sal.S.2	Su_Sal_2	Surface	Sukhaya Salma	2013	5	Salicornia	2	Live	1.69	22.8	0	0	670	0	0	31	0	0	27	0	0.332997111357243	0.149804522400676	0.303107033110788	0.465047756131162	728
Tid.S.1	Su_НГ_1	Surface	Sukhaya Salma	2013	6	Tidal flat	1	Live	1.67	17.5	0	0	422	1	1	5	0	1	496	0	0.742860096697009	0.505376243766589	0.414598114007488	0.350323112241973	926
Tid.S.2	Su_НГ_2	Surface	Sukhaya Salma	2013	6	Tidal flat	2	Live	1.67	17.5	0	0	208	0	0	4	0	0	350	0	0.697997041901583	0.475120629171363	0.635344287608317	0.669907760636413	562
Pla.M.1	Ma-Pl-1	Surface	Matrenin Island	2014	1	Plantago	1	Live	1.67	60.15	119	102	17	0	0	88	0	0	0	0	1.23894281339645	0.693270352666641	0.893708326416036	0.862990541723083	326
Pla.M.2	Ma-Pl-2	Surface	Matrenin Island	2014	1	Plantago	2	Live	1.67	60.15	79	5	8	0	0	16	0	0	0	0	0.846663432713661	0.435356652949245	0.610738567839012	0.582963367894332	108
Alo.M.1	Ma-Lh-1	Surface	Matrenin Island	2014	3	Alopecurus	1	Live	1.79	78.9	175	5	0	0	0	3	0	0	0	0	0.208499421339837	0.084505359968945	0.189784352032517	0.410609405750273	183
Alo.M.2	Ma-Lh-2	Surface	Matrenin Island	2014	3	Alopecurus	2	Live	1.79	78.9	123	18	0	0	0	1	0	0	0	2	0.488482315450596	0.254533179012346	0.352365507031267	0.407460189452274	144
Jun.M.1	Ma-Ju-1	Surface	Matrenin Island	2014	4	Juncus	1	Live	1.69	75	215	26	18	0	0	11	0	0	0	16	0.893185358950078	0.418040001956086	0.55496726655285	0.488579756096537	286
Jun.M.2	Ma-Ju-2	Surface	Matrenin Island	2014	4	Juncus	2	Live	1.69	75	281.333333333333	5.33333333333333	33.3333333333333	0	0	124	0	0	0	2.66666666666667	0.924049378231015	0.520472265537982	0.574144159953018	0.503894411322702	446.666666666667
Puc.M.1	Ma-Pr-1	Surface	Matrenin Island	2014	5	Puccinellia	1	Live	1.22	70	564	0	168	0	0	14	0	0	0	0	0.621772049266407	0.377347641397552	0.565961309262438	0.620741691436136	746
Puc.M.2	Ma-Pr-2	Surface	Matrenin Island	2014	5	Puccinellia	2	Live	1.22	70	251.2	0	256	0	0	0	0	0	1.6	1.6	0.731152225427175	0.506186063423119	0.527414844879357	0.519368236576436	510.4
Ast.M.1	Ma-Astr-1	Surface	Matrenin Island	2014	6	Aster	1	Live	1.19	16.8	102	0	248	0	0	2	0	3	2	0	0.709259642866039	0.435656615587412	0.440687793785944	0.406497187202986	357
Ast.M.2	Ma-Astr-2	Surface	Matrenin Island	2014	6	Aster	2	Live	1.19	16.8	73	0	96	0	0	0	0	0	18	0	0.934810984625304	0.574794818267608	0.850901627687609	0.848910680243968	187
Sal.M.1	Ma_Sal_1	Surface	Matrenin Island	2014	7	Salicornia	1	Live	0.79	16.9	4	0	93	0	0	0	0	0	15	0	0.54262669875701	0.291294642857143	0.493920106623654	0.573506740099281	112
Sal.M.2	Ma_Sal_2	Surface	Matrenin Island	2014	7	Salicornia	2	Live	0.79	16.9	0	0	42	0	0	0	0	0	32	0	0.683988432967782	0.490869247626004	0.986786720268032	0.99088306598586	74
