/* DATA DESCRIPTION:
Citation:	Krapivin, Vladimir (2017): Sizes, ages and number of symbionts of Mytilus edulis from three sites in the White sea. PANGAEA, https://doi.org/10.1594/PANGAEA.870537, 
	In supplement to: Krapivin, Vladimir; Bagrov, Sergey V; Varfolomeeva, Marina A (2018): Effect of tidal level on abundance of symbionts in the White Sea blue mussel. Diseases of Aquatic Organisms, 130(2), 131-144, https://doi.org/10.3354/dao03259
Coverage:	MEDIAN LATITUDE: 65.880787 * MEDIAN LONGITUDE: 34.301333 * SOUTH-BOUND LATITUDE: 65.034100 * WEST-BOUND LONGITUDE: 33.604380 * NORTH-BOUND LATITUDE: 66.312980 * EAST-BOUND LONGITUDE: 35.686020
	DATE/TIME START: 2013-07-15T00:00:00 * DATE/TIME END: 2013-07-15T00:00:00
	MINIMUM ORDINAL NUMBER: 1 * MAXIMUM ORDINAL NUMBER: 548
Event(s):	Gorelyi_Isl * LATITUDE: 66.312980 * LONGITUDE: 33.613600 * LOCATION: White Sea * DEVICE: Biological sample (BIOS)
	Lebajya_Bay * LATITUDE: 66.295280 * LONGITUDE: 33.604380 * LOCATION: White Sea * DEVICE: Biological sample (BIOS)
	Solovkecki_Isl * LATITUDE: 65.034100 * LONGITUDE: 35.686020 * LOCATION: White Sea * DEVICE: Biological sample (BIOS)
Comment:	"Up" zone is lower intertidal, "middle" zone is zero-depth, and "down" zone is 3m depth.
Parameter(s):	Event label (Event) * PI: Krapivin, Vladimir (https://orcid.org/0000-0002-7368-3100, tanitolkai@gmail.com)
	DATE/TIME (Date/Time) * GEOCODE * PI: Krapivin, Vladimir (https://orcid.org/0000-0002-7368-3100, tanitolkai@gmail.com)
	ORDINAL NUMBER (Ord No) * GEOCODE * PI: Krapivin, Vladimir (https://orcid.org/0000-0002-7368-3100, tanitolkai@gmail.com)
	Area/locality (Area) * PI: Krapivin, Vladimir (https://orcid.org/0000-0002-7368-3100, tanitolkai@gmail.com)
	Site (Site) * PI: Krapivin, Vladimir (https://orcid.org/0000-0002-7368-3100, tanitolkai@gmail.com)
	Zone (Zone) * PI: Krapivin, Vladimir (https://orcid.org/0000-0002-7368-3100, tanitolkai@gmail.com)
	Comment (Comment) * PI: Krapivin, Vladimir (https://orcid.org/0000-0002-7368-3100, tanitolkai@gmail.com) * COMMENT: quadrat
	Mytilus edulis, length shell [mm] (M. edulis L shell) * PI: Krapivin, Vladimir (https://orcid.org/0000-0002-7368-3100, tanitolkai@gmail.com)
	Mytilus edulis, age [a] (M. edulis age) * PI: Krapivin, Vladimir (https://orcid.org/0000-0002-7368-3100, tanitolkai@gmail.com)
	Urastoma spp. [#] (Urastoma spp.) * PI: Krapivin, Vladimir (https://orcid.org/0000-0002-7368-3100, tanitolkai@gmail.com)
	Renicola spp. [#] (Renicola spp.) * PI: Krapivin, Vladimir (https://orcid.org/0000-0002-7368-3100, tanitolkai@gmail.com)
	Himasthla spp. [#] (Himasthla spp.) * PI: Krapivin, Vladimir (https://orcid.org/0000-0002-7368-3100, tanitolkai@gmail.com)
	Trematoda, metacercaria [#] (Metacercaria) * PI: Krapivin, Vladimir (https://orcid.org/0000-0002-7368-3100, tanitolkai@gmail.com) * COMMENT: sp.
	Gymnophallus spp. [#] (Gymnophallus spp.) * PI: Krapivin, Vladimir (https://orcid.org/0000-0002-7368-3100, tanitolkai@gmail.com)
	Bucephalidae [#] (Bucephalidae) * PI: Krapivin, Vladimir (https://orcid.org/0000-0002-7368-3100, tanitolkai@gmail.com) * COMMENT: sporocyst
	Algae [#] (Alg) * PI: Krapivin, Vladimir (https://orcid.org/0000-0002-7368-3100, tanitolkai@gmail.com) * COMMENT: green
	Nematoda [#] (Nematoda) * PI: Krapivin, Vladimir (https://orcid.org/0000-0002-7368-3100, tanitolkai@gmail.com)
	Microsetella [#] (Microsetella) * PI: Krapivin, Vladimir (https://orcid.org/0000-0002-7368-3100, tanitolkai@gmail.com)
	Copepoda [#] (Copepoda) * PI: Krapivin, Vladimir (https://orcid.org/0000-0002-7368-3100, tanitolkai@gmail.com)
	Chironomidae [#] (Chironomidae) * PI: Krapivin, Vladimir (https://orcid.org/0000-0002-7368-3100, tanitolkai@gmail.com) * COMMENT: larvae
	Halacaridae [#] (Halacaridae) * PI: Krapivin, Vladimir (https://orcid.org/0000-0002-7368-3100, tanitolkai@gmail.com)
	Jaera spp. [#] (Jaera spp.) * PI: Krapivin, Vladimir (https://orcid.org/0000-0002-7368-3100, tanitolkai@gmail.com)
	Ostracoda [#] (Ostrac) * PI: Krapivin, Vladimir (https://orcid.org/0000-0002-7368-3100, tanitolkai@gmail.com)
License:	Creative Commons Attribution-NonCommercial 3.0 Unported (CC-BY-NC-3.0)
Size:	10960 data points
*/
Event	Date/Time	Ord No	Area	Site	Zone	Comment	M. edulis L shell [mm]	M. edulis age [a]	Urastoma spp. [#]	Renicola spp. [#]	Himasthla spp. [#]	Metacercaria [#]	Gymnophallus spp. [#]	Bucephalidae [#]	Alg [#]	Nematoda [#]	Microsetella [#]	Copepoda [#]	Chironomidae [#]	Halacaridae [#]	Jaera spp. [#]	Ostrac [#]
Solovkecki_Isl	2013-07	1	B Solovkecki Isl	1	down	1	31.2	1.0	26	0	0	0	0	0	0	1	0	0	0	0	0	0
Solovkecki_Isl	2013-07	2	B Solovkecki Isl	1	down	1	41.1	2.0	16	0	0	0	0	0	0	1	0	0	0	0	0	0
Solovkecki_Isl	2013-07	3	B Solovkecki Isl	1	down	1	46.4	2.0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	4	B Solovkecki Isl	1	down	1	40.0	3.0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	5	B Solovkecki Isl	1	down	1	34.5	4.0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	6	B Solovkecki Isl	1	down	1	47.6	3.0	16	0	0	0	0	0	0	0	2	1	0	0	0	0
Solovkecki_Isl	2013-07	7	B Solovkecki Isl	1	down	1	34.3	2.0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	8	B Solovkecki Isl	1	down	1	49.6	4.0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	9	B Solovkecki Isl	1	down	1	49.8	3.0	11	0	0	0	4	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	10	B Solovkecki Isl	1	down	1	30.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	11	B Solovkecki Isl	1	down	1	50.0	3.0	9	0	0	0	0	0	0	0	1	0	0	0	0	0
Solovkecki_Isl	2013-07	12	B Solovkecki Isl	1	down	1	23.2	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	13	B Solovkecki Isl	1	down	1	53.6	4.0	15	1	0	0	0	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	14	B Solovkecki Isl	1	down	1	26.3	1.0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	15	B Solovkecki Isl	1	down	1	74.0	6.0	21	0	0	0	1	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	16	B Solovkecki Isl	1	down	1	94.5	9.0	23	0	0	0	0	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	17	B Solovkecki Isl	1	down	1	17.4	5.0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	18	B Solovkecki Isl	1	down	1	65.0	5.0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	19	B Solovkecki Isl	1	down	1	78.4	9.0	21	0	0	0	0	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	20	B Solovkecki Isl	1	down	1	61.3	5.0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	21	B Solovkecki Isl	1	down	1	34.5	2.0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	22	B Solovkecki Isl	1	down	1	50.0	3.0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	23	B Solovkecki Isl	1	down	1	48.0	5.0	12	0	0	0	1	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	24	B Solovkecki Isl	1	down	2	44.2	2.0	23	0	0	0	0	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	25	B Solovkecki Isl	1	down	2	41.4	3.0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	26	B Solovkecki Isl	1	down	2	41.2	2.0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	27	B Solovkecki Isl	1	down	2	54.2	3.0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	28	B Solovkecki Isl	1	down	2	83.0	7.0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	29	B Solovkecki Isl	1	down	2	20.1	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	30	B Solovkecki Isl	1	down	2	34.7	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	31	B Solovkecki Isl	1	down	2	81.4	6.0	37	0	0	0	0	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	32	B Solovkecki Isl	1	down	2	84.3	8.0	11	0	0	0	1	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	33	B Solovkecki Isl	1	down	2	85.7	7.0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	34	B Solovkecki Isl	1	down	2	82.3	8.0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	35	B Solovkecki Isl	1	down	2	89.2	8.0	6	0	0	0	1	0	0	0	0	0	0	0	0	0
Solovkecki_Isl	2013-07	36	B Solovkecki Isl	1	down	2	44.0	3.0	18	0	0	0	0	0	0	0	0	0	0	0	0	0
