Site;Sample;Level;Distance_to_Fucoids;Distance_to_stone;Distance_to_mussel;Highness
1;1;1;300;300;300;30
1;2;1;300;300;300;30
1;3;1;300;300;300;30
1;4;2;300;300;300;40
1;5;2;300;300;300;40
1;6;2;300;300;300;40
1;7;3;300;300;300;63
1;8;3;300;300;300;63
1;9;3;300;300;300;63
1;10;4;300;300;300;74
1;11;4;300;300;300;74
1;12;4;300;300;300;74
1;13;5;300;300;300;78
1;14;5;300;300;300;78
1;15;5;300;300;300;78
1;16;6;300;300;300;85
1;17;6;300;300;300;85
1;18;6;300;300;300;85
1;19;7;300;300;300;91
1;20;7;300;300;300;91
1;21;7;300;300;300;91
1;22;8;300;300;300;99
1;23;8;300;300;300;99
1;24;8;300;300;300;99
1;25;9;300;300;300;115
1;26;9;300;300;300;115
1;27;9;300;300;300;115
1;28;10;300;300;300;120
1;29;10;300;300;300;120
1;30;10;300;300;300;120
3;1;1;60;10;150;40
3;2;1;40;20;100;40
3;3;1;30;30;0;40
3;4;2;20;20;70;60
3;5;2;20;40;80;60
3;6;2;0;10;80;60
3;7;3;10;20;60;91
3;8;3;10;40;20;91
3;9;3;0;0;50;91
3;10;4;70;170;300;65
3;11;4;80;150;300;65
3;12;4;130;130;300;65
3;13;5;40;40;300;69
3;14;5;40;40;300;69
3;15;5;100;100;300;69
3;16;6;0;20;300;83
3;17;6;10;10;300;83
3;18;6;20;30;300;83
3;19;7;110;300;300;88
3;20;7;120;300;300;88
3;21;7;100;300;300;88
3;22;8;50;50;300;103
3;23;8;50;80;300;103
3;24;8;50;120;300;103
3;25;9;300;300;300;97
3;26;9;300;300;300;97
3;27;9;300;300;300;97
3;28;10;40;40;300;106
3;29;10;40;40;300;106
3;30;10;40;40;300;106
2;1;1;300;300;300;30
2;2;1;300;300;300;30
2;3;1;300;300;300;30
2;4;2;50;50;300;35
2;5;2;20;20;300;35
2;6;2;70;70;300;35
2;7;3;3;300;300;40
2;8;3;3;300;300;40
2;9;3;3;300;300;40
2;10;4;120;100;120;45
2;11;4;100;100;30;45
2;12;4;20;30;300;45
2;13;5;50;300;300;72
2;14;5;120;300;300;72
2;15;5;180;300;300;72
2;16;6;60;300;300;74
2;17;6;20;300;300;74
2;18;6;60;140;140;74
2;19;7;80;300;300;77
2;20;7;30;300;300;77
2;21;7;80;160;300;77
2;22;8;30;100;120;81
2;23;8;0;70;70;81
2;24;8;0;30;30;81
2;25;9;0;40;300;115
2;26;9;0;90;170;115
2;27;9;0;40;120;115
2;28;10;0;40;300;118
2;29;10;0;50;300;118
2;30;10;0;20;300;118
