SITE,TYPE,RRATTUS,MMUSCUL,PCALIFO,PEREMIC,RMEGALO,NFUSCIP,NLEPIDA,PFALLAX,MCALIFO
Florida,FRAG,0,13,3,1,1,2,0,0,0
Sandmark,FRAG,0,1,57,65,9,16,8,2,3
34street,FRAG,0,4,36,0,2,9,0,0,0
Balboaterr,FRAG,0,4,53,1,5,30,0,18,3
Katesess,FRAG,0,2,63,21,11,16,0,0,0
Altalajolla,FRAG,0,1,48,35,12,8,12,2,2
Laurel,FRAG,0,11,0,0,0,0,0,0,0
Canon,FRAG,0,16,0,0,0,0,0,0,0
Zena,FRAG,3,8,0,0,0,0,0,0,0
Baja,FRAG,1,2,0,0,0,0,0,0,0
Washington,FRAG,0,9,0,0,0,0,0,0,0
Solanadrive,FRAG,0,3,1,0,5,16,0,7,0
Syracuse,FRAG,0,4,39,0,4,12,0,0,0
32streetsth,FRAG,1,3,0,0,0,0,0,0,0
60th,FRAG,0,11,0,0,0,0,0,0,0
Juan,FRAG,0,4,0,0,0,0,0,0,0
Acuna,FRAG,3,0,0,0,0,0,0,0,0
Edison,FRAG,0,2,78,0,10,14,0,4,0
Spruce,FRAG,0,0,1,0,0,0,0,0,0
Oakcrest,FRAG,3,0,27,1,0,0,0,0,0
54street,FRAG,2,1,0,0,0,0,0,0,0
Titus,FRAG,0,3,0,0,0,0,0,0,0
Montanosa,FRAG,0,0,0,0,2,8,0,2,0
Elmac,FRAG,1,0,0,0,0,0,0,0,0
32streetnth,FRAG,0,5,0,0,0,0,0,0,0
Tec1,CON,0,0,22,0,0,11,0,2,0
Tec2,CON,0,0,29,0,10,9,0,1,0
Delmarmesa,CON,0,0,10,1,0,1,0,0,0
