time;insoil_t;upsoil_t;air_t;crone_t;soil_hum;air_hum
08.00;11;12;13;13;0.88;0.88
09.00;11;10;12;11;0.88;0.87
10.00;12;11;13;11;0.88;0.87
11.00;10;11;12;11;0.88;0.87
12.00;11;13;14;12;0.67;0.88
13.00;13;15;15;16;0.89;0.89
14.00;19;15;16;15;0.79;0.89
15.00;11;17;17;18;0.9;0.8
16.00;12;12;12;12;0.88;0.88
17.00;16;13;12;13;0.88;0.88
18.00;14;17;18;17;0.9;0.9
19.00;14;15;18;17;0.9;0.9
20.00;14;15;17;16;0.9;0.89
21.00;13;14;15;14;0.89;0.89
22.00;11;14;15;13;0.89;0.88
23.00;11;12;13;13;0.88;0.88
00.00;12;11;12;11;0.88;0.87
