Данные по гидрологическим характеристикам станций в Долгой губе о. Б. Соловецкий. Использование только с разрешения правообладателей материала. Электронная почта polydora@rambler.ru (Вадим Хайтов)
Station;Depth;Temp;Sal;Water_content
S1;2.30;13.30;25.80;73.20
S2;6.90;4.80;27.60;82.50
S3;16.00;7.00;25.90;84.30
S4;8.20;10.60;25.90;64.30
S5;9.40;11.80;26.40;67.10
S6;9.80;11.90;26.10;68.40
S7;15.50;1.90;27.10;62.30
S8;12.20;6.20;26.90;66.90
S9;6.80;12.30;26.40;55.00
S10;4.20;12.60;26.20;61.70
S12;10.80;-0.20;28.40;62.60
S13;9.10;-0.40;28.30;60.20
S15;7.40;12.00;27.00;73.10
S16;16.40;1.40;28.20;81.70
S17;8.70;12.00;26.90;64.20
S18;5.40;12.60;26.90;61.30
S19;6.70;12.80;26.90;62.50
S20;6.10;12.60;26.80;64.00
S21;15.40;1.00;28.20;69.80
S22;13.80;-0.10;28.00;80.20
S23;13.40;12.20;27.00;56.00
S24;14.70;4.60;27.20;43.40
S25;11.00;1.20;28.20;69.40
S26;10.60;5.30;27.70;70.60
S27;3.60;14.60;26.80;40.90
S28;4.30;13.80;26.70;72.30
S29;4.30;13.80;26.70;59.10
S30;10.70;13.80;28.30;60.80
S31;16.50;0.20;28.10;47.90
S32;15.40;0.40;28.10;49.30
S33;17.70;0.80;28.20;70.00
S34;11.80;0.40;28.10;57.00
S35;9.40;3.00;28.00;40.30
S36;8.20;12.60;27.10;54.70
S37;17.40;0.00;28.20;76.30
S38;16.50;0.40;28.10;73.00
S39;12.40;1.00;28.20;42.10
S40;15.20;1.90;27.90;69.50
S41;8.50;12.50;27.00;65.60
S42;11.10;12.40;27.10;63.60
S43;5.50;14.10;27.10;59.60
S44;8.10;13.20;26.80;63.50
S45;6.90;13.40;27.00;70.00
S46;12.50;0.60;27.80;94.60
S47;12.30;1.00;28.10;73.80
S48;11.10;1.80;27.80;51.10
S49;6.50;14.20;26.70;44.10
S50;7.00;12.60;26.80;9.86
S51;8.90;12.00;26.90;61.90
S52;3.70;14.20;26.40;67.20
S53;8.00;4.60;26.60;71.00
S54;6.20;13.20;26.50;NA
S55;10.30;13.20;26.40;60.70
S56;9.20;12.60;26.30;74.40
S57;5.70;12.40;26.30;NA
S58;2.40;12.00;26.10;NA
S59;5.80;11.00;26.20;NA
S60;2.70;12.80;26.30;75.60
S61;8.40;11.40;26.30;29.90
S62;7.10;11.80;26.30;63.00
S63;6.80;11.40;26.30;61.90
S64;7.30;11.40;26.30;66.30
S65;8.60;11.80;26.20;31.70
S66;10.10;11.00;26.20;69.90
S67;5.60;11.80;25.70;56.10
S68;3.40;12.20;26.20;NA
S69;15.40;4.20;26.90;NA
S70;3.70;14.50;26.50;NA
