Year;Bank;Mussel_size;Nemertini;Polydora_quadrilobata;Fabricia_sabella;Tubificoides_benedeni;Cricotopus_vitripennis;Hydrobia_ulvae;Onoba_aculeus;Littorina_saxatilis;Skeneopsis_planorbis;Macoma_balthica;Gammarus_sp.;Filamentous_algae
1997;Vor2;Large_dominated;7.0;9.2;9.0;176.8;2.7;1.2;1.3;10.5;0.2;3.5;9.7;0.29
1998;Vor2;Large_dominated;2.2;1.3;1.7;81.0;4.5;3.5;0.0;4.2;0.2;4.3;1.7;0.05
1999;Vor2;Large_dominated;11.2;0.0;0.0;83.3;4.7;58.5;0.7;7.2;0.2;18.3;4.8;0.25
2000;Vor2;Large_dominated;4.8;0.5;4.0;219.5;17.3;171.2;0.0;14.2;0.0;39.7;9.0;1.43
2001;Vor2;Large_dominated;2.3;0.2;1.3;206.5;2.5;110.0;1.2;7.3;0.0;27.8;7.2;3.35
2002;Vor2;Large_dominated;3.0;0.3;1.3;228.2;9.7;52.0;1.5;9.0;0.0;17.5;4.8;7.93
2003;Vor2;Large_dominated;2.2;8.3;2.7;128.7;6.2;44.7;1.8;6.0;0.0;7.8;5.3;3.14
2004;Vor2;Large_dominated;33.7;10.5;3.7;305.0;12.2;54.2;0.0;5.0;0.0;17.8;2.2;5.98
2005;Vor2;Large_dominated;7.0;0.0;2.3;165.5;5.0;73.0;1.2;7.5;0.0;25.7;2.0;1.49
2006;Vor2;Large_dominated;11.3;0.0;14.3;109.7;13.5;55.3;0.7;3.7;0.0;9.3;5.2;4.84
2007;Vor2;Large_dominated;1.5;0.0;6.0;151.3;5.0;64.0;1.7;8.3;0.0;10.2;3.0;7.83
2008;Vor2;Large_dominated;9.8;0.5;11.5;101.7;6.8;19.7;9.7;8.8;0.0;10.8;10.2;0.44
2009;Vor2;Small_dominated;5.3;0.7;25.5;169.0;6.7;34.8;1.5;6.2;0.0;26.8;2.2;2.38
2010;Vor2;Small_dominated;7.7;0.0;1.0;116.3;13.7;38.0;3.8;14.3;0.2;21.3;16.3;3.82
