type;Arenicola_marina;Capitella_capitata;Corophium_bonelli;Crangon_crangon;Chironomidae_(larvae);Eteone_longa;Epheria_vincta;Fabricia_sabella;Gammarus_sp.;Halicryptus_spinulosus;Hydrobia_ulvae_adult+spat;Hydrobia_ulvae_adult;Hydrobia_ulvae_spat;Jaera_sp.;Littorina_saxatilis;Macoma_balthica_ault+juv;Macoma_balthica_ault;Macoma_balthica_juv;Microspio_theeli;Monoculodes_sp.;Mya_arenaria;Mytilus_edulis_adult;Mytilus_edulis_(спат);Nemertini;Oligochaeta;Phyllodoce_groenlandica;Polydora_quadrilobata;Pseudolibrotus_litoralis;Pygospio_elegans;Scoloplos_armiger;Skeneopsis_planorbis;Tubificoides_benedeni;Turbellaria;Fucus_vesiculosus;Filamentous_algae
M;0;0;0;0;12;0;0;1;0;0;449;186;263;0;6;31;9;22;4;0;3;15;6;2;2;0;0;0;2;3;0;7;0;0;0.012
M;0;0;0;0;11;0;0;0;0;0;303;206;97;0;13;55;28;27;1;4;4;3;9;9;7;0;0;0;3;17;0;13;0;0;0.041
M;0;0;0;0;43;0;0;1;3;0;493;328;165;0;18;22;16;6;0;1;1;17;32;7;0;0;0;0;4;9;0;7;0;0;0.164
M;0;1;0;0;18;0;0;1;0;0;283;122;161;0;13;32;15;17;1;0;0;20;2;1;0;1;0;0;1;10;0;6;0;0;0.073
M;0;0;0;0;79;0;0;3;0;0;453;366;87;1;15;24;24;0;0;0;0;33;15;11;0;0;0;0;1;5;1;6;0;0;0.193
M;0;2;0;0;11;0;0;0;11;0;337;273;64;0;12;22;20;2;1;2;1;16;31;7;0;0;0;0;0;13;0;5;0;0;0.099
M;0;6;0;0;0;0;0;2;0;0;515;497;18;0;3;15;14;1;0;0;0;15;0;1;2;0;0;0;1;4;0;8;0;0;0.004
M;0;0;0;0;11;0;1;0;0;0;208;183;25;2;6;13;12;1;0;0;0;7;2;5;0;0;0;0;0;0;0;3;1;0;0.098
M;0;1;0;0;53;0;0;4;0;0;797;342;455;1;7;46;40;6;0;1;7;50;33;11;0;0;0;0;5;8;0;39;0;0.072;0.157
M;0;0;0;0;64;0;0;4;1;1;604;357;247;2;9;36;28;8;2;7;2;40;20;6;1;0;0;0;4;10;0;4;0;0.327;0.165
D;0;0;0;0;8;0;0;0;0;0;511;251;260;0;0;29;13;16;0;1;1;15;5;5;0;0;0;0;1;3;0;21;1;0;0.046
D;0;1;0;0;2;0;0;0;0;1;196;138;58;0;1;36;31;5;1;0;0;5;0;0;0;0;0;0;1;6;0;2;0;0;0.004
