Gender;Species;Time_to_entrance;Urination;Defecation;Quadr_Number;Vert_Number;Displ_Act;Time_in_Centre
f;karl;0;1;0;47;11;4;0
f;karl;20;0;3;317;58;3;6
m;karl;181;0;0;177;55;6;2
f;karl;0;0;0;32;5;3;0
f;karl;139;0;0;205;29;10;3
m;karl;0;0;2;38;9;8;0
f;karl;0;1;2;64;15;9;0
f;karl;273;0;0;120;20;5;1
m;karl;0;0;0;37;11;8;0
f;mongol;25;1;2;311;51;1;14
m;mongol;6;2;5;589;60;3;29
f;mongol;3;1;0;504;69;0;25
f;mongol;10;0;1;365;51;2;12
m;mongol;3;1;1;635;48;3;23
f;mongol;120;0;0;283;41;1;6
f;mongol;46;2;6;210;20;1;10
m;mongol;4;2;4;553;58;4;15
f;mongol;97;2;1;450;37;0;6
f;zhirnokhvost;28;2;0;281;49;7;14
f;zhirnokhvost;0;0;0;8;6;0;0
f;zhirnokhvost;101;0;0;304;54;3;4
f;zhirnokhvost;27;0;0;236;63;3;2
f;zhirnokhvost;232;0;1;180;24;0;1
f;zhirnokhvost;0;0;0;69;18;1;0
f;zhirnokhvost;0;0;0;1;0;0;0
f;zhirnokhvost;234;0;0;178;44;0;1
