"Agropyron","Schizachyrium","rep","NO3","field"
3.65,1.85,"1","0","1"
3.56,1.73,"2","0","1"
3.68,1.58,"3","0","1"
4.96,1.09,"4","0","1"
4.26,1.47,"5","0","1"
4.11,2.11,"6","0","1"
4.88,0.7,"1","10","1"
4,0.97,"2","10","1"
5.31,1.2,"3","10","1"
4.95,0.8,"4","10","1"
6.43,1.44,"5","10","1"
4.91,0.58,"6","10","1"
4.69,2.25,"1","0","2"
5.04,2.68,"2","0","2"
5.3,3.07,"3","0","2"
5.58,2.85,"4","0","2"
5.48,3.33,"5","0","2"
6.2,3.68,"6","0","2"
6.53,2.86,"1","10","2"
6.11,1.88,"2","10","2"
6.6,2.07,"3","10","2"
5.64,2.6,"4","10","2"
5.73,2.29,"5","10","2"
5.37,2.39,"6","10","2"
6.63,3.41,"1","0","3"
5.89,3.63,"2","0","3"
4.91,4.34,"3","0","3"
6.49,3.63,"4","0","3"
5.86,3.28,"5","0","3"
6.74,4.05,"6","0","3"
7.77,2.76,"1","10","3"
6.68,3.58,"2","10","3"
7.64,2.64,"3","10","3"
6.69,2.49,"4","10","3"
7.2,2.94,"5","10","3"
7.5,2.97,"6","10","3"
