data;Month;P;U;Ff;ff10;VV;Td
01.01.2011;Jan;751.1;90;2;4;4;-6.5
02.01.2011;Jan;754.7;90;0;1;10;-7.2
03.01.2011;Jan;754.5;85;2;4;10;-13.3
04.01.2011;Jan;761.1;86;1;3;10;-8.2
05.01.2011;Jan;767;85;0;NA;10;-9.9
06.01.2011;Jan;766.4;85;0;NA;4;-0.9
07.01.2011;Jan;759.8;90;2;4;2;-3.8
08.01.2011;Jan;752.3;90;1;3;4;-0.2
09.01.2011;Jan;758.1;95;1;2;10;-4.1
10.01.2011;Jan;749.6;98;1;1;2;-2.1
11.01.2011;Jan;745.6;98;0;NA;10;-2.7
12.01.2011;Jan;753.2;92;0;NA;20;-0.3
13.01.2011;Jan;758.2;85;1;2;20;-0.3
14.01.2011;Jan;756.9;85;3;5;20;-0.8
15.01.2011;Jan;762.8;85;2;3;20;0.5
16.01.2011;Jan;768.6;75;1;2;20;0.4
17.01.2011;Jan;761.4;90;4;8;2;-0.3
18.01.2011;Jan;758.8;89;4;7;10;-0.9
19.01.2011;Jan;763.5;90;2;4;10;-4.3
20.01.2011;Jan;770.5;85;2;4;20;-9.9
21.01.2011;Jan;770.8;95;3;6;4;-5.2
22.01.2011;Jan;761.9;91;4;8;20;-4
23.01.2011;Jan;764;93;2;3;10;-2.5
24.01.2011;Jan;750.6;88;2;3;10;-4
25.01.2011;Jan;748.4;90;1;2;20;-9.2
26.01.2011;Jan;753.5;95;1;2;20;-4.4
27.01.2011;Jan;751.6;85;1;2;20;-0.7
28.01.2011;Jan;740.9;94;1;2;10;-4.2
29.01.2011;Jan;746.7;90;1;3;10;-0.1
30.01.2011;Jan;752.6;80;2;4;20;0.3
31.01.2011;Jan;746.3;90;3;5;2;-1.5
01.02.2011;Feb;748.2;85;2;4;10;-2.3
02.02.2011;Feb;752;90;1;1;4;-5.8
03.02.2011;Feb;753.9;85;2;4;20;-4.2
04.02.2011;Feb;751.2;80;2;3;20;-4
05.02.2011;Feb;748.5;70;2;4;20;-1.4
06.02.2011;Feb;752.4;75;0;1;20;-4.5
07.02.2011;Feb;756;76;1;2;10;1.5
08.02.2011;Feb;741.8;85;4;7;4;-0.8
09.02.2011;Feb;752.1;85;2;3;10;-11.5
10.02.2011;Feb;761.8;85;2;4;20;-7
11.02.2011;Feb;756.7;85;1;2;4;-10.6
12.02.2011;Feb;764.6;80;2;4;20;-8.5
13.02.2011;Feb;767.8;85;3;5;20;-11.5
14.02.2011;Feb;773.8;80;3;5;20;-7.7
15.02.2011;Feb;771;80;3;6;20;-6.1
16.02.2011;Feb;773.9;80;3;5;20;-8.5
17.02.2011;Feb;775;80;2;5;20;-11.6
18.02.2011;Feb;773.5;75;2;5;20;1
19.02.2011;Feb;769.6;80;0;1;20;0.5
20.02.2011;Feb;769.6;80;2;3;20;1.7
21.02.2011;Feb;775.6;85;0;NA;20;-4.1
22.02.2011;Feb;774.2;80;2;3;20;-2.6
23.02.2011;Feb;778.4;80;1;1;20;-2.5
24.02.2011;Feb;778;80;1;2;10;4
25.02.2011;Feb;773.3;80;4;7;2;-0.1
26.02.2011;Feb;762.6;87;4;8;20;-7
27.02.2011;Feb;766.7;95;3;6;10;-3.7
28.02.2011;Feb;762.5;89;3;5;2;-2.7
01.03.2011;Mar;771.5;79;1;2;20;6.4
02.03.2011;Mar;764.6;68;1;2;20;0.1
03.03.2011;Mar;744;64;2;6;51;4.5
04.03.2011;Mar;742.6;68;1;2;51;2.5
05.03.2011;Mar;739;80;3;7;20;3.7
06.03.2011;Mar;756.9;69;5;9;20;0.1
07.03.2011;Mar;755.8;82;3;7;20;2
08.03.2011;Mar;752.6;84;3;6;51;2.5
09.03.2011;Mar;746.8;62;4;7;20;2.1
10.03.2011;Mar;741.5;99;4;8;1;1.4
11.03.2011;Mar;745.1;91;5;9;4;0.9
12.03.2011;Mar;739.8;95;3;6;4;0.9
13.03.2011;Mar;755;81;1;2;20;1.8
14.03.2011;Mar;758.4;95;2;5;4;2.2
15.03.2011;Mar;773.8;75;1;3;20;1.2
16.03.2011;Mar;775.9;55;4;6;51;5
17.03.2011;Mar;776;65;2;4;20;5.3
18.03.2011;Mar;771.7;61;4;7;20;3.9
